time,disloc_density,disp_y,fp_yy,slip_increment_0,slip_increment_1,slip_increment_10,slip_increment_11,slip_increment_12,slip_increment_13,slip_increment_14,slip_increment_15,slip_increment_16,slip_increment_17,slip_increment_18,slip_increment_19,slip_increment_2,slip_increment_20,slip_increment_21,slip_increment_22,slip_increment_23,slip_increment_24,slip_increment_25,slip_increment_26,slip_increment_27,slip_increment_28,slip_increment_29,slip_increment_3,slip_increment_30,slip_increment_31,slip_increment_32,slip_increment_33,slip_increment_34,slip_increment_35,slip_increment_36,slip_increment_37,slip_increment_38,slip_increment_39,slip_increment_4,slip_increment_40,slip_increment_41,slip_increment_42,slip_increment_43,slip_increment_44,slip_increment_45,slip_increment_46,slip_increment_47,slip_increment_5,slip_increment_6,slip_increment_7,slip_increment_8,slip_increment_9,slip_resistance_0,slip_resistance_1,slip_resistance_10,slip_resistance_11,slip_resistance_12,slip_resistance_13,slip_resistance_14,slip_resistance_15,slip_resistance_16,slip_resistance_17,slip_resistance_18,slip_resistance_19,slip_resistance_2,slip_resistance_20,slip_resistance_21,slip_resistance_22,slip_resistance_23,slip_resistance_24,slip_resistance_25,slip_resistance_26,slip_resistance_27,slip_resistance_28,slip_resistance_29,slip_resistance_3,slip_resistance_30,slip_resistance_31,slip_resistance_32,slip_resistance_33,slip_resistance_34,slip_resistance_35,slip_resistance_36,slip_resistance_37,slip_resistance_38,slip_resistance_39,slip_resistance_4,slip_resistance_40,slip_resistance_41,slip_resistance_42,slip_resistance_43,slip_resistance_44,slip_resistance_45,slip_resistance_46,slip_resistance_47,slip_resistance_5,slip_resistance_6,slip_resistance_7,slip_resistance_8,slip_resistance_9,stress_vm,stress_yy,total_twin_volume_fraction
6.25e-07,20000000,1.8353783099306e-07,1,0,0,0,8.3510177888425e-213,0,-1.6931854931033e-194,-5.3596068893568e-205,0,-1.490227715861e-227,-7.1568181542042e-262,-3.6752415769936e-289,5.8312806493669e-240,-5.8310602450982e-279,-9.9287292363455e-231,1.3876230985438e-281,7.1253739128295e-268,7.7652373049656e-222,-6.6411206190323e-310,-1.320321426666e-195,-2.6636189037057e-206,0,-7.6565124787149e-215,-2.1331918458724e-266,1.6006655112956e-258,-3.4662098284624e-297,1.4164959979822e-226,0,-5.6883541009435e-195,-2.8012768871707e-205,0,-4.8792934477529e-248,-3.198170501565e-259,-9.4660440438381e-284,6.2445649052914e-262,1.072249952648e-298,-1.9608712975154e-220,8.7424316067964e-286,2.0331469092811e-275,4.9231527613992e-211,-1.9283860396136e-246,3.2733316195359e-279,8.0801452850312e-263,1.7422974174083e-238,-9.7392064285739e-210,-5.4395979631913e-299,8.374115905849e-200,-1.8660678186196e-280,-1.0465197264251e-201,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,14.67072731522,14.670727327293,0
1.875e-06,20000000,5.5061452531776e-07,1,-1.1369723626311e-278,6.9953002762067e-289,1.7823980310923e-274,4.3222849884565e-165,-4.6325407775381e-303,-8.789009283492e-147,-2.7712352086465e-157,0,-7.754445659258e-180,-3.7404395482285e-214,-1.9609666535155e-241,3.0248776472948e-192,-3.1142904647572e-231,-5.1203506066007e-183,7.4172766646411e-234,3.7129985085561e-220,4.0221543648184e-174,-3.4947048187086e-262,-6.8552953826911e-148,-1.3776966682076e-158,0,-3.9806922118776e-167,-1.1155887240747e-218,8.3541917365845e-211,-1.8483956264879e-249,7.3393203544185e-179,0,-2.9519738471093e-147,-1.4479671368983e-157,-1.8004648829152e-278,-2.5436123367851e-200,-1.6706065915561e-211,-5.0528076408627e-236,3.2477486567259e-214,5.5652554667054e-251,-1.0120647630798e-172,4.6748292728013e-238,1.0585301992431e-227,2.5517887269666e-163,-9.9301835512386e-199,1.7491430081273e-231,4.2133034093324e-215,9.0129465891845e-191,-5.0310666869449e-162,-2.9115052232884e-251,4.3436072624666e-152,-9.775158014748e-233,-5.4365219182222e-154,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,44.023728275671,44.023728318519,0
4.375e-06,20000000,1.2847720323478e-06,1,-6.802739029441e-242,4.1564919613169e-252,1.1929430995941e-237,2.7358728692659e-128,-3.1152565355753e-266,-5.5955577448191e-110,-1.7506157349545e-120,-1.4161600792626e-276,-4.9610735979353e-143,-2.4142586994282e-177,-1.3192827681255e-204,1.9232065841952e-155,-2.0993708208888e-194,-3.2177624058003e-146,5.0085415495419e-197,2.3823412530086e-183,2.5497858867772e-137,-2.2869715019126e-225,-4.3666803476005e-111,-8.7086838111213e-122,0,-2.5423993892607e-130,-7.2096105961447e-182,5.3772695425669e-174,-1.242149971835e-212,4.6555319629788e-142,1.5947979145601e-288,-1.878440427575e-110,-9.1411583446665e-121,-1.2254513996612e-241,-1.6332969848985e-163,-1.0771410814859e-174,-3.4022202136943e-199,2.0757209841592e-177,3.5424830429544e-214,-6.3704059748909e-136,3.1590902115662e-201,6.7797814893345e-191,1.6198807669581e-126,-6.2219937902733e-162,1.1803497173758e-194,2.7069266003373e-178,5.6989611870369e-154,-3.1722803747423e-125,-1.9714062218995e-214,2.7612632647339e-115,-6.3385056268391e-196,-3.466569423749e-117,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,102.77593429201,102.77593457753,0
9.375e-06,20000000,2.7531034127726e-06,1,-7.7790223547026e-209,4.6902652526695e-219,1.7068569671538e-204,3.4982620181764e-95,-4.5095546590291e-233,-7.2382778000767e-77,-2.2295925721149e-87,-2.164764533314e-243,-6.4802852451996e-110,-3.2106042404337e-144,-1.9068306517312e-171,2.4810533018181e-122,-3.0466307231483e-161,-4.0558890052572e-113,7.2940965079829e-164,3.1303818702571e-150,3.2703630798694e-104,-3.1280916447322e-192,-5.6543791678731e-78,-1.1105736831222e-88,5.0440641438086e-300,-3.3096953971537e-97,-9.6121816613821e-149,7.1110138306026e-141,-1.7913080252175e-179,5.9783178846096e-109,1.8500527114225e-255,-2.427471323103e-77,-1.1627566615957e-87,-1.8156016216039e-208,-2.1490793585917e-130,-1.4293522515076e-141,-4.9257154277441e-166,2.7058134159197e-144,4.5812365949961e-181,-8.0556502313491e-103,4.6080212170983e-168,8.8770521948656e-158,2.0833208815988e-93,-7.7967260850825e-129,1.7166574195551e-161,3.5663671590034e-145,7.2722300032116e-121,-4.0253394707178e-92,-2.8877734634251e-181,3.5613364182928e-82,-8.5084995493032e-163,-4.4981793774509e-84,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,220.46531363189,220.46531771043,0
1.4375e-05,20000000,4.2214566283081e-06,1,-2.5945865927102e-190,1.5449126662732e-200,7.1220861335044e-186,1.3031054107277e-76,-1.9091081223769e-214,-2.7276617184081e-58,-8.2726157117079e-69,-9.7198750968166e-225,-2.4657786758908e-91,-1.2441784766384e-125,-8.0346870662994e-153,9.3237852706211e-104,-1.2890596920215e-142,-1.4894783648382e-94,3.0976068402484e-145,1.1984575146993e-131,1.222010290969e-85,-1.2476794448736e-173,-2.1329434068583e-59,-4.1259216586436e-70,2.3011848166929e-281,-1.255107325178e-78,-3.7345974546976e-130,2.740059927484e-122,-7.5309383645529e-161,2.2363885613509e-90,6.2923932784798e-237,-9.1385379640915e-59,-4.3088658813071e-69,-7.8573849370861e-190,-8.2369811938898e-112,-5.5269381961483e-123,-2.0790720766214e-147,1.0274171053974e-125,1.7261608867802e-162,-2.9678324867862e-84,1.960217901211e-149,3.3864496316323e-139,7.8056321967726e-75,-2.8466328239433e-110,7.2798036517307e-143,1.3690433230411e-126,2.7035969582584e-102,-1.4880845973236e-73,-1.234040154741e-162,1.3381020277641e-63,-3.328820105601e-144,-1.7003155856892e-65,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,338.40161289697,338.40161252688,0
1.9375e-05,20000000,5.6898314997514e-06,1,-2.1749811676743e-177,1.2800232549143e-187,7.4687211142094e-173,1.2186319597109e-63,-2.0363063347381e-201,-2.5804814376642e-45,-7.7061223974288e-56,-1.1040258800618e-211,-2.3553174831679e-78,-1.2107237619911e-112,-8.5052668919971e-140,8.7961746010283e-91,-1.370317603923e-129,-1.3733660654352e-81,3.3055292827714e-132,1.152022534666e-118,1.1463835036965e-72,-1.2504924220416e-160,-2.0198840077513e-46,-3.8482830655921e-57,2.9475184398536e-268,-1.1948554469688e-65,-3.6437540757624e-117,2.6510908500897e-109,-7.9541478981434e-148,2.1002510443602e-77,5.4086147092896e-224,-8.6368742641992e-46,-4.0088155931339e-56,-8.558159581878e-177,-7.9251519524713e-99,-5.3664066565023e-110,-2.204650690389e-134,9.793103511145e-113,1.6330253206806e-149,-2.7451936058341e-71,2.0955279905977e-136,3.2435924029379e-126,7.3422469384551e-62,-2.6095891067993e-97,7.7568785978968e-130,1.3195606931319e-113,2.5235217290123e-89,-1.3811413162662e-60,-1.3256404218601e-149,1.2621976439502e-50,-3.2708876613438e-131,-1.6135057163243e-52,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,456.5851786594,456.58516556353,0
2.4375e-05,20000000,7.1582278485672e-06,1,-1.8550705638194e-167,1.0799679797469e-177,7.9659164259733e-163,1.1579865357537e-53,-2.2147217037714e-191,-2.4805184421937e-35,-7.294243783878e-46,-1.2833102988174e-201,-2.2858674779014e-68,-1.1974818649276e-102,-9.1537066148907e-130,8.4315064049403e-81,-1.4811318157088e-119,-1.2868476261834e-71,3.5871111224423e-122,1.1253946038553e-108,1.0928050085426e-62,-1.2746993181537e-150,-1.9435787805968e-36,-3.6472031156442e-47,4.2800489299917e-258,-1.1557512054756e-55,-3.6135421477536e-107,2.606868904655e-99,-8.5414313273713e-138,2.0040992676313e-67,4.7552863530827e-214,-8.2941301381765e-36,-3.7898747665058e-46,-9.4936711939056e-167,-7.7470719688306e-89,-5.2957912767149e-100,-2.3768878741846e-124,9.4836108891006e-103,1.5700199105371e-139,-2.5803776355073e-61,2.2782978994011e-126,3.1572230966148e-116,7.017764544921e-52,-2.4312197332141e-87,8.4045601931775e-120,1.2925750623403e-103,2.3935771290397e-79,-1.3026053332368e-50,-1.4486996670042e-139,1.209777947568e-40,-3.2671931915402e-121,-1.5557306190493e-42,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,575.01636046461,575.01633144305,0
2.6875e-05,20000000,7.8924340121715e-06,1,-3.0849030286053e-163,1.7868334831389e-173,1.4813220506213e-158,2.0317619717356e-49,-4.1621547054001e-187,-4.3773610407171e-31,-1.2773496533404e-41,-2.4964445217076e-197,-4.0531578293889e-64,-2.1437132093507e-98,-1.7096247734499e-125,1.4857903833129e-76,-2.7722862175522e-115,-2.2421511295532e-67,6.7278356681956e-118,2.0021477330997e-104,1.9204635581574e-58,-2.3171387105671e-146,-3.4315331550799e-32,-6.3909084946564e-43,9.6371478863282e-254,-2.045892858333e-51,-6.4776343599748e-103,4.6531028782997e-95,-1.5934976938274e-133,3.5236562504644e-63,8.0463909541531e-210,-1.4629446006116e-31,-6.6326599554709e-42,-1.8012073216604e-162,-1.3786051573802e-84,-9.4696995518432e-96,-4.443181315878e-120,1.6797316523445e-98,2.7709865112179e-135,-4.5030058222953e-57,4.2772081461835e-122,5.6067649622276e-112,1.2349176974782e-47,-4.2239994204364e-83,1.5750649209299e-115,2.30271728172e-99,4.1959481895482e-75,-2.2769892140384e-46,-2.7270233134242e-135,2.131800060895e-36,-5.8781208954046e-117,-2.7495577603067e-38,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,634.32491437899,634.32487500322,0
2.9375e-05,20000000,8.6266454930801e-06,1,-2.1518717801615e-159,1.2403502274591e-169,1.1553893056784e-154,1.4948803547492e-45,-3.2826988740186e-183,-3.2392472425395e-27,-9.3800763514458e-38,-2.0396987796023e-193,-3.0136486382198e-60,-1.6093630089945e-94,-1.3391434113297e-121,1.097914325632e-72,-2.1762663284291e-111,-1.6382400291831e-63,5.2923685898471e-114,1.4937005693078e-100,1.415261990796e-54,-1.7666646506986e-142,-2.5405951924405e-28,-4.6960357274162e-39,9.3000662159718e-250,-1.5186570942134e-47,-4.8696021172066e-99,3.4829573004483e-91,-1.2467974114313e-129,2.5979410180552e-59,5.7189731983849e-206,-1.082050027997e-27,-4.8676413297927e-38,-1.4337950645306e-158,-1.0287165755732e-80,-7.1011382232385e-92,-3.4834010074223e-116,1.2475520063927e-94,2.0508728434043e-131,-3.2952935660682e-53,3.3679312223662e-118,4.1753568751149e-108,9.1126089893335e-44,-3.0775364550969e-79,1.2379972413204e-111,1.7202980492189e-95,3.0844944390867e-71,-1.6690865023993e-42,-2.1531852649026e-131,1.5752551986029e-32,-4.4351583012529e-113,-2.037752027353e-34,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,693.69550415896,693.69545267538,0
3.1875e-05,20000000,9.360862270894e-06,1,-7.2580815937216e-156,4.1642004335876e-166,4.3571971061536e-151,5.3166813750606e-42,-1.252497045946e-179,-1.1587075478733e-23,-3.3297093061603e-34,-8.0680017645637e-190,-1.0831393446193e-56,-5.8407178558254e-91,-5.0711790570441e-118,3.9216983944042e-69,-8.2593881853259e-108,-5.7863061126441e-60,2.0127984370573e-110,5.3869588000679e-97,5.0416345223486e-51,-6.5124679891947e-139,-9.0924334843626e-25,-1.6680253104393e-35,4.4228745493479e-246,-5.4491770485694e-44,-1.7696984487599e-95,1.260293141194e-87,-4.7162576683075e-126,9.2589722776806e-56,1.9682469644152e-202,-3.8687033933515e-24,-1.7268462943351e-34,-5.5198673472833e-155,-3.7105725366398e-77,-2.574196435901e-88,-1.3202913089988e-112,4.4788473450877e-91,7.3376360438169e-128,-1.1657203974398e-49,1.2821825500847e-114,1.5030932149042e-104,3.2504932245714e-40,-1.0839234654718e-75,4.7044660986909e-108,6.2127128524106e-92,1.0960882488121e-67,-5.914292263823e-39,-8.2202581998778e-128,5.6267195193978e-29,-1.617785147925e-109,-7.3002205476335e-31,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,703.92229164663,753.12817312529,753.12810731437,0
