time,disloc_density_0,disloc_density_1,disloc_density_10,disloc_density_11,disloc_density_2,disloc_density_3,disloc_density_4,disloc_density_5,disloc_density_6,disloc_density_7,disloc_density_8,disloc_density_9,disp_y,fp_yy,slip_increment_0,slip_increment_1,slip_increment_10,slip_increment_11,slip_increment_2,slip_increment_3,slip_increment_4,slip_increment_5,slip_increment_6,slip_increment_7,slip_increment_8,slip_increment_9,stress_vm,stress_yy,total_twin_volume_fraction
0.00011875,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,3.4872155166997e-05,1,1.4244757057743e-26,0,0,-1.4244757025452e-26,-1.4244757019568e-26,-1.424475702235e-26,0,-1.4244757019867e-26,-1.424475702603e-26,0,-1.4244757025345e-26,1.4244757063441e-26,1694.082346993,1694.0823469934,0
0.00012875,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,3.7808757707375e-05,1,4.8595737706607e-23,0,0,-4.859573760768e-23,-4.8595737589456e-23,-4.8595737597979e-23,0,-4.8595737590374e-23,-4.8595737609368e-23,0,-4.8595737607166e-23,4.8595737724698e-23,1840.832593829,1840.8325938293,0
0.00013875,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,4.0745360247754e-05,1,9.0519898732089e-20,0,0,-9.0519898558999e-20,-9.0519898533774e-20,-9.0519898548535e-20,0,-9.0519898535375e-20,-9.051989856386e-20,0,-9.0519898562629e-20,9.051989876183e-20,1988.2282199205,1988.2282199208,0
0.00014875,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,4.3681962788138e-05,1,1.0016179149749e-16,0,0,-1.0016179123138e-16,-1.0016179126356e-16,-1.0016179130569e-16,0,-1.0016179125939e-16,-1.0016179126326e-16,0,-1.0016179123518e-16,1.0016179149114e-16,2136.2714072083,2136.2714072087,0
0.00015875,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,4.6618565331155e-05,1,7.0457626461118e-14,0,0,-7.0457442562808e-14,-7.0457432535998e-14,-7.0457440006325e-14,0,-7.0457433511217e-14,-7.0457443115074e-14,0,-7.0457442672042e-14,7.0457627916077e-14,2284.9643466641,2284.9643478388,0
0.00016375,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,4.8086866554531e-05,1,1.6049434254838e-12,0,0,-1.604922344326e-12,-1.6049222365485e-12,-1.6049224026094e-12,0,-1.6049220790915e-12,-1.6049229414749e-12,0,-1.6049223838504e-12,1.6049429405142e-12,2359.55515907,2359.5551680079,0
0.00016875,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,4.9555167825157e-05,1,3.3302334053696e-11,0,0,-3.3301914890656e-11,-3.3301912655897e-11,-3.3301916037271e-11,0,-3.3301909540775e-11,-3.3301926728217e-11,0,-3.330191568053e-11,3.3302324363307e-11,2434.3092376033,2434.3092463926,0
0.00017375,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,5.1023469099321e-05,1,6.3291069354816e-10,0,0,-6.3290378306503e-10,-6.3290374028605e-10,-6.3290380511801e-10,0,-6.3290368749538e-10,-6.3290396850398e-10,0,-6.3290379671602e-10,6.329105203145e-10,2509.2268570908,2509.2268645545,0
0.00017875,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,5.2491770408017e-05,1.0000000000002,1.1071987588577e-08,0,0,-1.1071956496817e-08,-1.107195698429e-08,-1.107195707786e-08,0,-1.1071956549822e-08,-1.1071956526684e-08,0,-1.1071956652291e-08,1.1071988005002e-08,2584.3082954132,2584.3082974577,0
0.00018375,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,5.3960071679459e-05,1.0000000000031,1.7910776556419e-07,0,0,-1.791077651893e-07,-1.791077651689e-07,-1.7910776520324e-07,0,-1.7910776517006e-07,-1.791077651768e-07,0,-1.7910776518131e-07,1.7910776560683e-07,2659.5538282909,2659.5538282916,0
0.00018875,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,5.542837295045e-05,1.0000000000471,2.6904991811672e-06,0,0,-2.6904987395134e-06,-2.6904987437337e-06,-2.6904987161673e-06,0,-2.6904987313463e-06,-2.6904987398701e-06,0,-2.6904987539064e-06,2.6904992016164e-06,2734.9637324813,2734.9637324675,0
0.00019375,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,5.6896674220625e-05,1.0000000006623,3.7675765345401e-05,0,0,-3.7675753663524e-05,-3.7675752838289e-05,-3.7675753581185e-05,0,-3.7675753046295e-05,-3.7675753591475e-05,0,-3.7675753464921e-05,3.7675765295549e-05,2810.5382592982,2810.5382593983,0
0.00019875,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,5.8364975491077e-05,1.000000008722,0.0004935571799788,0,0,-0.00049355695241425,-0.00049355694005876,-0.00049355695080216,0,-0.00049355694375719,-0.00049355695151322,0,-0.00049355694831175,0.00049355717426982,2886.2764366205,2886.2764368167,0
0.00020125,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,5.9099126125119e-05,1.0000000229621,0.0017440389064708,0,0,-0.0017440389053797,-0.0017440389053143,-0.0017440389053252,0,-0.0017440389053231,-0.0017440389054222,0,-0.0017440389053998,0.0017440389065365,2924.2059125355,2924.2059125356,0
0.00020375,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,5.9833276760216e-05,1.0000000725014,0.0060673091464316,0,0,-0.0060673091310595,-0.0060673091314127,-0.0060673091313601,0,-0.006067309130211,-0.0060673091299894,0,-0.0060673091316909,0.0060673091484696,2962.1712467851,2962.1712467859,0
