time,disloc_density,disp_x,disp_y,disp_z,fp_yy,gd_0,gd_1,gd_10,gd_11,gd_12,gd_13,gd_14,gd_15,gd_16,gd_17,gd_18,gd_19,gd_2,gd_20,gd_21,gd_22,gd_23,gd_24,gd_25,gd_26,gd_27,gd_28,gd_29,gd_3,gd_30,gd_31,gd_32,gd_33,gd_34,gd_35,gd_36,gd_37,gd_38,gd_39,gd_4,gd_40,gd_41,gd_42,gd_43,gd_44,gd_45,gd_46,gd_47,gd_5,gd_6,gd_7,gd_8,gd_9,slip_increment_0,slip_increment_1,slip_increment_10,slip_increment_11,slip_increment_12,slip_increment_13,slip_increment_14,slip_increment_15,slip_increment_16,slip_increment_17,slip_increment_18,slip_increment_19,slip_increment_2,slip_increment_20,slip_increment_21,slip_increment_22,slip_increment_23,slip_increment_24,slip_increment_25,slip_increment_26,slip_increment_27,slip_increment_28,slip_increment_29,slip_increment_3,slip_increment_30,slip_increment_31,slip_increment_32,slip_increment_33,slip_increment_34,slip_increment_35,slip_increment_36,slip_increment_37,slip_increment_38,slip_increment_39,slip_increment_4,slip_increment_40,slip_increment_41,slip_increment_42,slip_increment_43,slip_increment_44,slip_increment_45,slip_increment_46,slip_increment_47,slip_increment_5,slip_increment_6,slip_increment_7,slip_increment_8,slip_increment_9,slip_resistance_0,slip_resistance_1,slip_resistance_10,slip_resistance_11,slip_resistance_12,slip_resistance_13,slip_resistance_14,slip_resistance_15,slip_resistance_16,slip_resistance_17,slip_resistance_18,slip_resistance_19,slip_resistance_2,slip_resistance_20,slip_resistance_21,slip_resistance_22,slip_resistance_23,slip_resistance_24,slip_resistance_25,slip_resistance_26,slip_resistance_27,slip_resistance_28,slip_resistance_29,slip_resistance_3,slip_resistance_30,slip_resistance_31,slip_resistance_32,slip_resistance_33,slip_resistance_34,slip_resistance_35,slip_resistance_36,slip_resistance_37,slip_resistance_38,slip_resistance_39,slip_resistance_4,slip_resistance_40,slip_resistance_41,slip_resistance_42,slip_resistance_43,slip_resistance_44,slip_resistance_45,slip_resistance_46,slip_resistance_47,slip_resistance_5,slip_resistance_6,slip_resistance_7,slip_resistance_8,slip_resistance_9,sliprate,stress_vm,stress_xx,stress_yy,stress_zz,total_twin_volume_fraction
6.25e-07,20000000,4.2958148457236e-08,1.855038506653e-07,3.8163536013985e-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0748456666777e-22,-1.5518802958902e-24,-2.0878645692249e-22,-9.078591908885e-23,6.743230062006e-23,1.2049841105671e-21,-4.952281954751e-22,2.7686047173334e-24,1.9655218687072e-23,5.8147084175213e-24,6.2797009732439e-23,-5.525187025662e-21,-1.3000616048589e-25,-3.7323819557488e-24,8.8835205555201e-23,-4.5138564438878e-21,-9.733717162202e-24,1.0024786552117e-22,1.1276988181896e-21,-8.1161136835383e-22,-1.8977640287098e-23,1.5345808434095e-23,2.7053282489399e-24,-2.3752712201779e-21,1.810197585409e-22,-4.1818820803433e-21,2.0412111812783e-23,6.098189662483e-22,-1.5433778939917e-22,-8.8987678983299e-24,1.1935030797635e-23,8.9261436433775e-23,9.9317982624649e-24,-3.6793636776993e-21,-4.8456155863244e-23,-8.4812515467545e-24,1.8774807917819e-22,-1.4888238744041e-21,-1.8171604710286e-24,-2.1300809260728e-24,2.0638688594722e-23,-6.6166414544753e-21,-1.1188408060547e-23,-9.0734930553296e-24,-1.3736222310941e-22,-2.1300069205123e-23,4.5203391032125e-23,1.3771621888333e-22,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,0,13.328577388016,-5.9128789018024e-06,12.933934269828,-9.3568241800305e-06,0
1.25e-06,20000000,8.5915563346555e-08,3.7100765045266e-07,7.6327030642197e-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.2259884628696e-16,-1.6280647118431e-18,-2.1902801784738e-16,-9.5032611085097e-17,7.075281416496e-17,1.2628681079859e-15,-5.1987746663502e-16,2.9053984215741e-18,2.0625813227218e-17,6.1008393512378e-18,6.5887608623739e-17,-5.7968136390522e-15,-1.3641527886957e-19,-3.914175408759e-18,9.3209776967617e-17,-4.7361685807002e-15,-1.0215095241343e-17,1.0518312090306e-16,1.1818889488871e-15,-8.5201030532422e-16,-1.9904171298561e-17,1.6102784103162e-17,2.838319684095e-18,-2.4923274138289e-15,1.89918586801e-16,-4.3874697396883e-15,2.1419320822872e-17,6.3908923472237e-16,-1.6201348364913e-16,-9.335073679584e-18,1.2524104598935e-17,9.3663262862471e-17,1.0421166875357e-17,-3.8602378108482e-15,-5.0835005873807e-17,-8.8954164698142e-18,1.969899905089e-16,-1.562136969689e-15,-1.9079516610457e-18,-2.2342916064936e-18,2.1655149274694e-17,-6.9425694023062e-15,-1.1740834854956e-17,-9.5207246289193e-18,-1.4411478962787e-16,-2.2315009832444e-17,4.7428483543255e-17,1.4430912688726e-16,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,3.6004832522277e-20,26.660677664737,-2.4474463803127e-05,25.87143483768,-3.8753529530057e-05,0
1.875e-06,20000000,1.2887200400996e-07,5.5651139835505e-07,1.1449030198932e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0733173879137e-12,-5.416361299528e-15,-7.2866753386384e-13,-3.1546882386266e-13,2.3542102756675e-13,4.197063799065e-12,-1.7306956157478e-12,9.6687732731393e-15,6.8639606639777e-14,2.0299033369243e-14,2.1923067065381e-13,-1.9286678522457e-11,-4.5392748935766e-16,-1.301726899567e-14,3.1014400358196e-13,-1.5759078039472e-11,-3.3996274664425e-14,3.4997955285723e-13,3.9280528802671e-12,-2.836387838776e-12,-6.620333074799e-14,5.3585363251451e-14,9.4433862749768e-15,-8.293183526391e-12,6.3189024791186e-13,-1.4597626245108e-11,7.1277082431882e-14,2.1238628521963e-12,-5.3932963958423e-13,-3.1054968734329e-14,4.1677311498417e-14,3.1167285317752e-13,3.4676689453086e-14,-1.284343415254e-11,-1.691221429235e-13,-2.9586791944173e-14,6.554481424099e-13,-5.1977945166241e-12,-6.352808064885e-15,-7.4320694024628e-15,7.2055291327373e-14,-2.3100805525166e-11,-3.9071027823828e-14,-3.1680379694844e-14,-4.7948523845809e-13,-7.4130410753549e-14,1.5780946973529e-13,4.7954906919982e-13,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,3.7773989482477e-14,39.996300611582,-5.5061090365664e-05,38.812502539273,-8.7184485285141e-05,0
2.5e-06,20000000,1.718276209522e-07,7.4201509472209e-07,1.5265347858393e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3864374567454e-10,-1.7088077056244e-12,-2.2988399590266e-10,-9.930867458356e-11,7.428417943206e-11,1.3227653505665e-09,-5.4637385791615e-10,3.0513111070512e-12,2.1661474452167e-11,6.4048759330449e-12,6.9174883683898e-11,-6.0852032644274e-09,-1.4323842888237e-13,-4.1053391652559e-12,9.7862179553063e-11,-4.9726053737606e-09,-1.0729259658688e-11,1.1043044915695e-10,1.2380198821504e-09,-8.9543876114414e-10,-2.0881667156238e-11,1.6909896532254e-11,2.9795025177731e-12,-2.6168992223131e-09,1.9937256580421e-10,-4.6057450327952e-09,2.2492806801136e-11,6.6933127464615e-10,-1.702577754213e-10,-9.7970203080782e-12,1.3152315826951e-11,9.835087544736e-11,1.0942296072892e-11,-4.0522647281118e-09,-5.3356537406511e-11,-9.3320927823525e-12,2.0681502337118e-10,-1.640093616956e-09,-2.0059191189121e-12,-2.34438656406e-12,2.2736319177372e-11,-7.2892618861391e-09,-1.2329919076248e-11,-9.9967846989468e-12,-1.5128347539115e-10,-2.3353141677902e-11,4.979393269698e-11,1.5111995132937e-10,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,1.2567502072243e-10,53.335447193771,-9.7875696653439e-05,51.757137961975,-0.00015497541564709,0
3.125e-06,20000000,2.1478268451334e-07,9.2751873962574e-07,1.9081680468365e-07,1.000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9386499369037e-08,-1.4828724836259e-10,-1.9948653290054e-08,-8.5965264056328e-09,6.4472267665567e-09,1.1466818173684e-07,-4.744429742319e-08,2.6486644537639e-10,1.8802984245411e-09,5.5586446194666e-10,6.003727760915e-09,-5.2805915991704e-07,-1.243249364393e-11,-3.561260151544e-10,8.4936026404403e-09,-4.3157349540282e-07,-9.3139396305461e-10,9.5843034934366e-09,1.0732496976263e-07,-7.775544079526e-08,-1.8116576671274e-09,1.467780135313e-09,2.5857427639344e-10,-2.2712843637336e-07,1.7302728893349e-08,-3.996779430446e-07,1.9523733741581e-09,5.802011758871e-08,-1.4783755099109e-08,-8.5012458092604e-10,1.1416432128541e-09,8.5364612404057e-09,9.4973992710325e-10,-3.5164374131889e-07,-4.6301569260786e-09,-8.0962843796142e-10,1.7949460298876e-08,-1.4234279151938e-07,-1.7421444885002e-10,-2.0340210866341e-10,1.9733312550264e-09,-6.3264188105932e-07,-1.0702643503325e-09,-8.6767210784195e-10,-1.3129050653581e-08,-2.0235602192185e-09,4.321607996564e-09,1.3098838000647e-08,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,3.9651048933382e-08,66.678117909999,-0.00015291323705186,64.705341606504,-0.00024211929108584,0
3.75e-06,20000000,2.5773735142859e-07,1.1130223363589e-06,2.2898059605047e-07,1.0000000000381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1243496768251e-06,-5.6875063269762e-09,-7.6513464287143e-07,-3.262515984452e-07,2.4732879570275e-07,4.3928285869379e-06,-1.8208093472861e-06,1.0162421433496e-08,7.2142506964915e-08,2.1318960427074e-08,2.3030896451583e-07,-2.0203932684935e-05,-4.7695430782165e-10,-1.3654692599288e-08,3.258268042086e-07,-1.6546451189495e-05,-3.5736662484826e-08,3.6766978611821e-07,4.1116393792569e-06,-2.9840396679133e-06,-6.9471623563577e-08,5.6311582918086e-08,9.9186689458442e-09,-8.7090563406125e-06,6.637150635197e-07,-1.529501282799e-05,7.4904361573321e-08,2.2225727863279e-06,-5.6735603810717e-07,-3.2605545116911e-08,4.3801330550837e-08,3.2737144737292e-07,3.6434934696792e-08,-1.345277816422e-05,-1.7753501155788e-07,-3.1046810561464e-08,6.8855492181124e-07,-5.4572488888763e-06,-6.6867156251863e-09,-7.7900212591553e-09,7.5700372955145e-08,-2.4256193112584e-05,-4.1062416614561e-08,-3.3285708210667e-08,-5.0360959064669e-07,-7.748235442074e-08,1.6578334041194e-07,5.0172793082604e-07,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,3.4408742112068e-06,80.024303169442,-0.0002201708375636,77.65710484647,-0.00034860889851569,0
4.0625e-06,20000000,2.7921893821194e-07,1.2057741218362e-06,2.4806681624677e-07,1.00000000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.5445017968036e-06,-2.8198872381882e-08,-3.7937874400797e-06,-1.586622887823e-06,1.2264621959814e-06,2.175947856022e-05,-9.0295971430851e-06,5.0398523949348e-08,3.577700930896e-07,1.0566739963918e-07,1.1420201703556e-06,-9.9630580725501e-05,-2.365151577977e-09,-6.7693721077192e-08,1.6156701568281e-06,-8.1945442928336e-05,-1.7722313559488e-07,1.8232097269695e-06,2.0366956561551e-05,-1.4797619753075e-05,-3.4442835390456e-07,2.792408990037e-07,4.9183508808677e-08,-4.3139915534352e-05,3.2910525906968e-06,-7.5456000528926e-05,3.7145559275685e-07,1.1008921333333e-05,-2.8136286263975e-06,-1.6166500412561e-07,2.1722059652466e-07,1.6220560680758e-06,1.8067222664605e-07,-6.6324546118269e-05,-8.7963431672708e-07,-1.5392587024045e-07,3.4142893892705e-06,-2.7025501422587e-05,-3.3158210134135e-08,-3.8511267188397e-08,3.7537590994439e-07,-0.00012013496622919,-2.0363252758257e-07,-1.6504712023193e-07,-2.4971414481981e-06,-3.8365818672855e-07,8.2209281141146e-07,2.4848902401299e-06,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,124.52252896804,0.00013182102974996,86.698694850237,-0.00025727543743757,84.134304920764,-0.000408754507546,0
4.375e-06,20001400.566373,3.0070015052335e-07,1.298525924556e-06,2.6715396927312e-07,1.0000000005303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3917589185825e-05,-1.2412751319179e-07,-1.6703964288525e-05,-6.5080081647847e-06,5.4011283959465e-06,9.5601283501603e-05,-3.9742706323255e-05,2.219850057062e-07,1.5757077743826e-06,4.6447015072504e-07,5.0284633191637e-06,-0.00042976783559279,-1.0414895479048e-08,-2.9802900832925e-07,7.1141382207826e-06,-0.00035896981471346,-7.8042224714551e-07,8.0291736557391e-06,8.9484244013144e-05,-6.511928189151e-05,-1.5163826184117e-06,1.2295873259298e-06,2.1659485076295e-07,-0.00018912740063584,1.4490701916263e-05,-0.00032601755767509,1.6358922795979e-06,4.8365651850599e-05,-1.2385445958405e-05,-7.1180983064855e-07,9.5674424996847e-07,7.1186725654624e-06,7.9554228639854e-07,-0.00028586356613471,-3.8614524619433e-06,-6.7772832359449e-07,1.5033739738137e-05,-0.00011836705412075,-1.4588387321629e-07,-1.677470889024e-07,1.6528763912956e-06,-0.00052638986015336,-8.9678387322986e-07,-7.2658971476756e-07,-1.0995253252499e-05,-1.684372573437e-06,3.6204615596987e-06,1.091306739855e-05,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,124.52252899191,0.00065188171031312,93.373876461493,-0.00029965146558206,90.612312839377,-0.0004744402192066,0
4.6875e-06,20009851.401442,3.2218039428723e-07,1.3912778273401e-06,2.8624431105186e-07,1.0000000020734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.9892639314948e-05,-4.9279259590313e-07,-6.6375725273201e-05,-2.108629151283e-05,2.1472477339207e-05,0.00037732028880106,-0.0001575687633165,8.8302146661051e-07,6.2652632678208e-06,1.8341809218796e-06,1.9979527754753e-05,-0.0016152611270361,-4.139007358422e-08,-1.1844674932465e-06,2.8267927447533e-05,-0.0014001129191119,-3.1016043354712e-06,3.1921932024645e-05,0.00035318039155525,-0.00025801750411657,-6.0254146035506e-06,4.8854815225657e-06,8.6116694342108e-07,-0.00073973483819025,5.7576768317318e-05,-0.0012308972467712,6.5037044531513e-06,0.00019086457429796,-4.9130907775151e-05,-2.8284071703001e-06,3.8049968835025e-06,2.7948203012458e-05,3.1609437167762e-06,-0.0010719094596601,-1.5180023306628e-05,-2.693790507115e-06,5.973612846564e-05,-0.00046138868626131,-5.7803478381055e-07,-6.4771818743405e-07,6.5678829571086e-06,-0.002054883089432,-3.5650306070844e-06,-2.8849080082727e-06,-4.3691025908066e-05,-6.6332668445223e-06,1.4395225261021e-05,4.3012705854361e-05,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,124.52252913871,0.0028414517422397,100.04959566419,-0.00034397548073074,97.090901629857,-0.00054461691101713,0
5e-06,20038871.824475,3.4365856581618e-07,1.4840301055816e-06,3.0534476828147e-07,1.0000000073412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00029725902393851,-1.7849204234589e-06,-0.00024103454804883,-5.2060761311575e-05,7.8086591620408e-05,0.0013414815568239,-0.00056752984794713,3.2186198222573e-06,2.2791720952788e-05,6.5333687814181e-06,7.2518664679428e-05,-0.0053412624333676,-1.5031592134644e-07,-4.3061306489888e-06,0.00010261657393766,-0.0047980494827692,-1.1271350967528e-05,0.00011610642485739,0.0012556401078955,-0.00092736624307825,-2.1882979792454e-05,1.7731557902804e-05,3.1330639641799e-06,-0.0025570631228612,0.00020900812871332,-0.0041021393296836,2.3650336222352e-05,0.00067831999442151,-0.0001772756966902,-1.0267915680159e-05,1.3851336368023e-05,9.7741235318611e-05,1.1472770989966e-05,-0.0035302272523043,-5.3351143785911e-05,-9.7941355506255e-06,0.00021685229764029,-0.0015781205676934,-2.0880892053951e-06,-2.2452650325745e-06,2.3844638627083e-05,-0.0070607634183325,-1.2962460481213e-05,-1.0448734452357e-05,-0.00015863815276336,-2.3425343166886e-05,5.2372930395766e-05,0.00015223594734657,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,124.52253112718,0.010966560853084,106.72507979566,-0.00039125317201602,103.5693656147,-0.00061969444754658,0
